Date,snow_depth
2024-10-01,0
2024-10-02,0
2024-10-03,0
2024-10-04,0
2024-10-05,0
2024-10-06,0
2024-10-07,0
2024-10-08,0
2024-10-09,0
2024-10-10,0
2024-10-11,0
2024-10-12,0
2024-10-13,0
2024-10-14,0
2024-10-15,0
2024-10-16,0
2024-10-17,2
2024-10-18,3
2024-10-19,3
2024-10-20,0
2024-10-21,0
2024-10-22,1
2024-10-23,1
2024-10-24,0
2024-10-25,0
2024-10-26,0
2024-10-27,0
2024-10-28,2
2024-10-29,4
2024-10-30,7
2024-10-31,7
2024-11-01,10
2024-11-02,16
2024-11-03,18
2024-11-04,16
2024-11-05,18
2024-11-06,20
2024-11-07,17
2024-11-08,18
2024-11-09,17
2024-11-10,16
2024-11-11,16
2024-11-12,20
2024-11-13,24
2024-11-14,26
2024-11-15,33
2024-11-16,33
2024-11-17,38
2024-11-18,41
2024-11-19,49
2024-11-20,58
2024-11-21,62
